,subnet,sum(bytes)
463,204.157.204.*,11747.0
464,204.157.71.*,95214.0
465,204.165.200.*,41943.0
466,204.171.110.*,100725.0
467,204.176.47.*,26174.0
468,204.177.210.*,104910.0
469,204.178.177.*,237817.0
470,204.185.47.*,7004.0
471,204.185.50.*,131631.0
472,204.188.47.*,162121.0
473,204.194.170.*,42100.0
474,204.194.175.*,19645.0
475,204.233.135.*,45905.0
476,204.238.43.*,8361.0
477,204.240.48.*,25938.0
478,204.242.57.*,325549.0
479,204.248.203.*,204373.0
480,204.249.225.*,5248.0
481,204.250.21.*,2624.0
482,204.250.9.*,106596.0
483,204.252.77.*,16762.0
484,204.254.252.*,52225.0
485,204.255.215.*,45994.0
486,204.255.92.*,118463.0
487,204.27.135.*,8486.0
488,204.32.176.*,4888.0
489,204.4.34.*,30842.0
490,204.5.81.*,24376.0
491,204.62.245.*,240139.0
492,204.62.25.*,29844.0
493,204.7.162.*,1463223.0
494,204.73.0.*,38895.0
495,204.91.136.*,306466.0
496,204.97.2.*,2469.0
497,204.97.68.*,123110.0
498,205.133.189.*,60244.0
499,205.133.212.*,41326.0
500,205.138.140.*,11747.0
501,205.168.13.*,2258.0
502,205.197.136.*,4889.0
503,205.208.30.*,118278.0
504,205.216.162.*,4888.0
505,205.216.194.*,0.0
506,205.217.0.*,4950.0
507,205.218.98.*,88805.0
508,205.241.144.*,2624.0
509,206.26.139.*,114429.0
510,206.27.204.*,116718.0
511,206.43.171.*,154615.0
512,38.12.1.*,202827.0
